name,page_title,zone,minlevel,loadtext,summary,quest_note,normal_enemies,elite_enemies,minibosses,bosses,sets_note
Arx Corinium,Online:Arx Corinium,Shadowfen,18,"The Second Empire made some advances into the periphery of Black Marsh, but they didn't stay long. Arx Corinium, once an Imperial fort, is now occupied by denizens of the deep swamp—and even stranger things.","While previously constructed and held by the Imperials, the fort has fallen into disrepair and is overrun with Lamias. A group of nereids now occupy the flooded fort and focus on restoring balance to the land. Rumors say the fort is home to a great source of power, although it is perverse, corrupted. You can learn about its location from Mindil the Untested in Marbruk, Abzag the Monster in Shornhelm, or Maela the Crone in Stormhold. Its dungeon sets are Lamia's Song, Medusa, and Undaunted Infiltrator. There are always 4 treasure chests available to find in this dungeon, which may contain weapons, armor or jewelry from the dungeon's sets.",Arx Corinium Objective: Explore the ruins of the Imperial fort Arx Corinium. / You helped the Nereid Sisters defeat the lamia nest.,Giant Snakes; Ixniaa's Handmaidens; Lamias; Lamia Curares; Lamia Dominas; Menacing Lamias; Menacing Lamia Curares; Dead Lamia Divas; Dead Lamia Medicas,Lurchers,"Fanged Menace, a giant snake; Matron Ixniaa, a lamia matriarch; Ancient Lurcher, a lurcher","Ganakton the Tempest, a wamasu; Sliklenia the Songstress, one of the lamia matriarchs, and her pet; Sellistrix the Lamia Queen, the leader of the lamias",Lamia's Song; Undaunted Infiltrator; Medusa; Sellistrix
The Banished Cells I,Online:The Banished Cells I,Auridon,10,The High Elves live long lives and have a talent for magic. Sometimes an Altmer's pursuit of magical power leads to tampering with forbidden knowledge and illicit dealings with evil Daedra. It was to confine such trespassers that the Banished Cells were created.,"In this version, Keeper Cirion needs your help binding the spirit of a dangerous Altmer, High Kinlord Rilis. You can learn about its location from Turuk Redclaws in Vulkhel Guard, Abzag the Monster in Daggerfall, or Roaring Ramavel in Davon's Watch. The final boss, High Kinlord Rilis, has a chance to drop the antiquity lead for the Pearls of Ehlnofey. See also: Banished Cells II",The Banished Cells Objective: Explore the Banished Cells. / You braved the dangers of the Banished Cells.,"Banekin; Banished Archers, Mages, Royal Soldiers, Sentinels, Slayers and Soldiers; Clannfear; Scamps; Shadow Proxies",,"Cell Haunter, a wraith; Angata the Clannfear Handler, a Dremora summoner; Skeletal Destroyer, a bone colossus","Shadowrend, a large clannfear; High Kinlord Rilis, the Altmer prisoner of the Banished Cells",Sanctuary; Jailbreaker; Tormentor; Shadowrend (set)
The Banished Cells II,Online:The Banished Cells II,Auridon,41,The High Elves live long lives and have a talent for magic. Sometimes an Altmer's pursuit of magical power leads to tampering with forbidden knowledge and illicit dealings with evil Daedra. It was to confine such trespassers that the Banished Cells were created.,"The story started in Banished Cells I is continued in this version; High Kinlord Rilis has escaped again, and Keeper Cirion once again needs help banishing him for good. You can learn about its location from Turuk Redclaws in Vulkhel Guard, Abzag the Monster in Daggerfall, or Roaring Ramavel in Davon's Watch. Hazards include flame walls.",The Banished Cells Objective: Explore the Banished Cells. / You braved the dangers of the Banished Cells.,"Banished Archers and Warriors; Dremora Clashers, Hauzkyn and Kyngald; Dark Banekin; Dark Clannfear; Dark Twilight; Daedroths; Flame Atronachs; Flesh Atronachs; Skeletal Warriors; Spider Daedra; Xivilai",Clannfear,"Keeper Areldur, a corrupted Keeper; Keeper Voranil, another corrupted Keeper; Sister Sihna and Sister Vera, a pair of harvesters","Maw of the Infernal, a giant daedroth; Keeper Imiril, another corrupted Keeper; High Kinlord Rilis, in his Xivilai form",Sanctuary; Jailbreaker; Tormentor; Maw of the Infernal (set)
Blackheart Haven,Online:Blackheart Haven,Bangkorai,30,"The Bjoulsae River, where it widens as it enters the Iliac Bay, flows past dozens of small islands that have long served as refuges for smugglers and sea raiders. The most notorious of these hideouts is Blackheart Haven.","thumb|right|The island The island is the hideout of the infamous Captain Blackheart and his crew. A pirate, Shifty Tom, wants you to help him turn over a new leaf by defeating his former captain and crewmates. You can learn about its location from Tiny Talisse in Rawl'kha, Mighty Mordra in Evermore, or Ferocious Jakidi in Riften. Its final boss, Captain Blackheart, has a chance to drop the antiquity lead for the Torc of Tonal Constancy.",Blackheart Haven Objective: Find the secrets of Blackheart Haven. / Captain Blackheart's reign of evil is over.,Blackheart Bonelords; Blackheart Deckhands; Blackheart Frighteners; Blackheart Strongarms; Blackheart Summoners; Bone Scouts; Hags; Harpies; Haven Archers; Haven Bruisers; Haven Sinkers; Haven Slip-Knives; Sea Hounds; Undying Pillagers,Bone Colossi,"Iron-Heel, an Argonian pirate; First Mate Wavecutter, an Orc pirate; Hollow Heart, a wraith","Atarus, an ogrim that serves as the crew's ""chef""; Roost Mother, a fire-breathing hagraven; Captain Blackheart, the skeleton leader of the pirates",Undaunted Unweaver; Bone Pirate's Tatters; Knight-Errant's Mail; Pirate Skeleton
Blessed Crucible,Online:Blessed Crucible,The Rift,32,"Warriors from all over Tamriel whisper about the Blessed Crucible, the hidden arena in the mountains of Skyrim where the mighty contend for fame, wealth, and the fabled Brimstone Crown.","This dungeon takes place in a vast daedric ruin repurposed as a gladiatorial arena. In it, you must help Talres Voren pay off his debts by winning the tournament and becoming the Champion of the Crucible. You can learn about its location from Vlesyl the Skin-Stealer in Rawl'kha, Sluz the Beryl-Chested in Evermore, or Kailstig the Axe in Riften. Bottomless Pits and Lava Pools serve as environmental hazards in the dungeon. A letter is located on the top bunk of one of the beds to the right of the entrance to the Gladiator's Quarters. There is a chest to the left of this room's exit. Several books are located on the plaques of statues in the chamber preceding the Lava Queen's arena, which tell ",Blessed Crucible Objective: Test your mettle in the Blessed Crucible. / You are now Champion of the Blessed Crucible.,Bears; Crucible Archers; Crucible Enforcers; Crucible Guardians; Crucible Durzogs; Enraged Durzogs; Gladiator Assassins; Gladiator Battlemages; Gladiator Brutes; Gladiator Champions; Gladiator Fearmages; Gladiator Frostmages; Gladiator Healers; Gladiator Hunters; Gladiator Necromancers; Gladiator Rangers; Gladiator Stalkers; Gladiator Summoners; Gladiator Warriors; Lava Atronach; Senche,,"Grunt the Clever, a giant; Teranya the Faceless, a Crucible assassin; Captain Thoran, a Crucible mage time bomb mage","The Pack, four werewolves: Dynus Aralas, Kayd at-Sal, Nusana and Snagg gro-Mashul; The Beast Master and her creatures:; Incineration Beetles, four magically corrupted shalks; Stinger, a massive giant scorpion; The Troll King, a massive armored troll; The Lava Queen, the current Champion of the Crucible",Nikulas' Heavy Armor; Noble Duelist's Silks; Sword Dancer; The Troll King (set)
City of Ash I,Online:City of Ash I,Greenshade,20,"Not all Wood Elves are happy about Valenwood joining the Aldmeri Dominion. Some fear for their beloved forests, while others fear their heritage and traditions will be diluted or replaced. A few groups have retreated to refuges deep in the jungle.","thumb|right|City of Ash I Formerly known as the graht-oak city Whisper Grove, a recently opened Oblivion Gate and hordes of Daedra have turned the Bosmeri city into a dangerous burning ruin. The city's desperate inhabitants have even resorted to breaking the Green Pact, constructing barriers of fallen wood to stem the flow of invading Daedra. You can learn about its location from Mindil the Untested in Marbruk, Abzag the Monster in Shornhelm, or Roaring Ramavel in Stormhold. The story continues in City of Ash II.",City of Ash Objective: The City of Ash is under attack. / You helped the Bosmer repel the Daedric invasion.,"An Acolyte, Assassin and Initiate Exemplar; Banekin and Banekin Minions; Dremora Hauzkyn and Kynvals; A Dremora Berserker and Shaman; Dagonite Archers, Assassins and Warriors; Flame Atronachs; Imps; Scamps",,"Golor the Banekin Handler, a Bosmer cultist; Dark Ember, a large flame atronach; Rothariel Flameheart, a Bosmer cultist","Infernal Guardian, a flaming lurcher; Warden of the Shrine, a dremora nightblade; Razor Master Erthas, the Bosmer leader of the Dagonite cult",Burning Spellweave; Sunderflame; Embershield; Infernal Guardian (set)
City of Ash II,Online:City of Ash II,Greenshade,44,"Nature has returned to reclaim the City of Ash. An unsealed portal still threatens, and only a few remain to defend against it.","thumb|right|City of Ash II The storyline continues from the events of City of Ash I. In this version, Fingaenion intends to travel to the Deadlands to rescue his wife Gilraen from Mehrunes Dagon, and he needs your help. You can learn about its location from Mindil the Untested in Marbruk, Abzag the Monster in Shornhelm, or Roaring Ramavel in Stormhold. Centipedes and scorpions are found in numbers inside. Hazards include bottomless pits and lava pools.",City of Ash Objective: The City of Ash is under attack. / You helped the Bosmer repel the Daedric invasion.,Clannfear; Crocodile; Dremora Beldakyn; Dremora Gandrakyn; Dremora Harstryl; Dremora Hauzkyn; Dremora Kyngald; Dremora Kynlurker; Dremora Kynval; Dremora Morikyn; Fire Ravager; Flame Atronach; Scamp; Senche-Tiger; Storm Atronach; Strangler; Urata Elementalist; Urata Militant; Venomous Skeleton; Xivilai Immolator; Xivilai Ravager,Air Atronach; Flame Colossus,"Rukhan, a xivilai warrior and his two dremora assistants Akezel and Marruz; Urata the Legion, a Dremora fire mage; Xivilai Boltaic, one of two guardians blocking the bridge to Skoria; Xivilai Fulminator, one of two guardians blocking the bridge to Skoria","Horvantud the Fire Maw, a large armored daedroth; Ash Titan, a daedric titan; Valkyn Skoria, a high-ranking dremora clad in molten armor",Burning Spellweave; Sunderflame; Embershield; Valkyn Skoria (set)
Crypt of Hearts I,Online:Crypt of Hearts I,Rivenspire,22,"This place's forbidding black towers are visible for leagues, even through Rivenspire's drifting mists. Yet the local inhabitants never mention it, behaving as if it doesn't even exist. But the Crypt of Hearts is no illusion or mirage—it is solid and all too real.","Formerly a school teaching Destruction magic, sword fighting, alchemy, and possibly even Daedric summoning, the crypt is now home to some of the tortured souls of its teachers and of its students. In this version Alanwe needs you to piece together her soul which is currently contained in three phylacteries scattered throughout the Crypt. You can learn about its location from Eraegaer the Kill-Happy in Marbruk, Ilmindil the Incendiary in Shornhelm, or Roaring Ramavel in Stormhold. The final bosses, Ilambris-Athor and Ilambris-Zaven, have a chance to drop the antiquity lead for the Bloodlord's Embrace. See also: Crypt of Hearts II",Crypt of Hearts Objective: Explore the Crypt of Hearts. / You braved the dangers of the Crypt of Hearts.,Banekin; Ghosts; The Mage Master's Slaves; Skeletal Archers; Skeletal Pyromancers; Skeletal Runecasters; Skeletal Warriors; Wraiths; Zombie; Zombie Plague-bearers; Zombie Stalkers,Bone Colossi,"The Mage Master, a skeleton nullifier; Uulkar Bonehand, a lich; Dogas the Berserker, a Dremora voidstalker","Archmaster Siniel, an Altmer necromancer mummy; Death's Leviathan, a giant bone colossus; Ilambris-Athor and Ilambris-Zaven, a pair of Xivilai torturers",Shroud of the Lich; Leviathan; Ebon Armory; Ilambris
Crypt of Hearts II,Online:Crypt of Hearts II,Rivenspire,43,"This place's forbidding black towers are visible for leagues, even through Rivenspire's drifting mists. Yet the local inhabitants never mention it, behaving as if it doesn't even exist. But the Crypt of Hearts is no illusion or mirage—it is solid and all too real.","Formerly a school teaching Destruction magic, sword fighting, alchemy, and possibly even Daedric summoning, the crypt is now home to some of the tortured souls of its teachers and of its students. The storyline continues from the events of Crypt of Hearts I. In this version, Alanwe once again needs your help defeating her former husband, who has returned to torment her following her escape from torture. You can learn about its location from Eraegaer the Kill-Happy in Marbruk, Ilmindil the Incendiary in Shornhelm, or Roaring Ramavel in Stormhold. The final boss, Nerien'eth, has a chance to drop the antiquity lead for the Pearls of Ehlnofey. See also: Crypt of Hearts I",Crypt of Hearts Objective: Explore the Crypt of Hearts. / You braved the dangers of the Crypt of Hearts.,Death Spiders; Flesh Atronachs; Ibelgast's Broodnurses; Ibelgast's Cauterizers; Ibelgast's Flesh Atronachs; Ibelgast's Wefters; Skeletons; Spider; Spiderkith Broodnurses; Spiderkith Cauterizers; Spiderkith Enervators; Spiderkith Venifexes; Spiderkith Warpers; Spiderkith Wefters; Wraith,Ogrim,"Ibelgast, a spiderkith nullifier; Chamber Guardian, a skeleton ravager; Mezeluth, a spiderkith fire mage","Ruzozuzalpamaz, a spider daedra; The Ilambris Amalgam, a large bone colossus formed from the fused bodies of Ilambris-Athor and Ilambris-Zaven; Nerien'eth, Alanwe's former husband who went insane after wielding the Ebony Blade",Shroud of the Lich; Leviathan; Ebon Armory; Nerien'eth (set)
Darkshade Caverns I,Online:Darkshade Caverns I,Deshaan,12,"These caves have the distinction of being the most famous kwama mines in Deshaan. Dark Elves consider kwama eggs a delicacy, and those harvested from Darkshade Caverns are particularly prized by Dunmeri gourmets.","thumb|right|Inside the cavernsthumb|right|The ruins of Rkugamz As Deshaan's largest kwama mine, the caverns' ownership remains hotly contested. The caverns also contain the hidden Dwemer ruin of Rkugamz. In the normal version, Tervur Sadri wants you to help him reclaim his mine from the thugs within. You can learn about its location from Mad Zebba outside Elden Root, Lady Blade outside Wayrest, or Hranir Icy-Mane outside Mournhold. The following item sets will drop both Darkshade Caverns I and II: Armor of Truth, Netch's Touch, and Strength of the Automaton.",Darkshade Caverns Objective: Explore the Darkshade Caverns. / You braved the dangers of the Darkshade Caverns.,Betty Netch; Bull Netch; Centurion Spiders; Darkshade Alits; Dwarven Spiders; Dwarven Spheres; Kwama Scribs; Kwama Warriors; Kwama Workers; Pit Rats Enforcers; Pit Rats Menders; Pit Rats Rangers; Pit Rats Thugs; Taskmaster Anaba; Taskmaster Elitai; Taskmaster Ninbael; Strangler Vines,,"Head Shepherd Neloren, a Dunmer member of the Pit Rats; Cavern Patriarch, a large netch; Cutting Sphere, a Dwemer Sphere","Foreman Llothan, the leader of the Pit Rats; The Hive Lord, a large Kwama Warrior; Sentinel of Rkugamz, a Dwarven Centurion blocking the entrance to Rkugamz",Netch's Touch; Strength of the Automaton; Armor of Truth; Sentinel of Rkugamz (set)
Darkshade Caverns II,Online:Darkshade Caverns II,Deshaan,42,"These caves have the distinction of being the most famous kwama mines in Deshaan. Dark Elves consider kwama eggs a delicacy, and those harvested from Darkshade Caverns are particularly prized by Dunmeri gourmets.","thumb|right|Inside the cavernsthumb|right|The ruins of Rkugamz As Deshaan's largest kwama mine, the caverns' ownership remains hotly contested. The caverns also contain the hidden Dwemer ruin of Rkugamz. The storyline continues from the event of Darkshade Caverns I. In this version, a Mages Guild researcher named Shatasha needs your help destroying a dangerous Dwemer mechanism within Rkugamz, before it corrupts Deshaan above. You can learn about its location from Mad Zebba outside Elden Root, Lady Blade outside Wayrest, or Hranir Icy-Mane outside Mournhold. Its dungeon sets are Armor of Truth, Netch's Touch, and Strength of the Automaton. Darkshade Caverns II is accessible starting at level ",Darkshade Caverns Objective: Explore the Darkshade Caverns. / You braved the dangers of the Darkshade Caverns.,Dwarven Sphere; Dwarven Spider; Fallen Marksman; Fallen Miner; Kwama Scrib; Kwama Warrior; Kwama Worker; Netchling; Transmuted Marksman; Transmuted Miner; Transmuted Scrib; Transmuted Warrior; Transmuted Worker,Dwarven Centurion,"The Fallen Foreman, another corrupted miner; Transmuted Alit, a trio of alit; The Engine Garrison, a large group of Dwemer constructs","Transmuted Hive Lord, an unusually large kwama warrior along with his draining and sedating scribs.; Grobull the Transmuted, a large netch; The Engine Guardian, a giant Dwemer spider guarding the Dwemer mechanism",Netch's Touch; Strength of the Automaton; Armor of Truth; Engine Guardian
