name,page_title,zone,minlevel,loadtext,summary,quest_note,normal_enemies,elite_enemies,minibosses,bosses,sets_note
Direfrost Keep,Online:Direfrost Keep,Eastmarch,24,"Ancestral home of the Direfrost clan, this frozen castle has long been sealed to the outside world, its owners neither seen nor heard from in generations. Mountain storms rage above the castle walls, conjured up by some unknown malignant power.","Once the ancestral home of the witch hunting Direfrost clan, the castle has been abandoned following an attack by the ice witch Drodda. A surviving member of the clan, Eboric Direfrost, needs your help to reclaim his home. You can learn about its location from Untouchable Naim outside Velyn Harbor, Twice-Lucky in Sentinel, or Felvyn the Swordarm in Windhelm. Its dungeon sets are Draugr Hulk, Magicka Furnace, and The Ice Furnace. A chest can spawn under the bridge leading to the keep's main gate, and on top of the sewer grate that leads into the dungeon. Its final boss, Drodda of Icereach, has a chance to drop the antiquity lead for the Snow Treaders.",Direfrost Keep Objective: Explore the Direfrost Keep. / You defeated Drodda and freed Direfrost Keep from her grasp.,Bears; Direfrost Cryomancers; Direfrost Stormmasters; Draugr Archers; Draugr Stormlords; Draugr Warriors; Frostkin; Frost Atronachs; Frozen Soldiers; Ice Wraiths; Garmath the Bold; Lord Agomar; Orva Direfrost,Frost Trolls,"Teethnasher the Frostbound, a large frost troll; Drodda's Dreadlord, a dangerous draugr; Drodda's Apprentice, a powerful ice mage","Guardian of the Flame, a draugr; Iceheart, a large frost atronach; Drodda of Icereach, the witch responsible for the destruction of Direfrost Keep",Magicka Furnace; Draugr Hulk; Ice Furnace; Iceheart (set)
Elden Hollow I,Online:Elden Hollow I,Grahtwood,14,"When the Daedra-worshiping Ayleids were driven from Cyrodiil after Alessia's Slave Rebellion, many of the Wild Elf clans took refuge in Valenwood. One of the foremost of those clans was granted the right to excavate dwelling-halls under Elden Root itself.","In this version, the Mages Guild is looking into reports of a strange ritual happening within Elden Hollow and need protection from the hostile Wood Orcs of the Darkfern Clan. You can learn about its location from Venomous Fauridil outside Elden Root, Hel Ra'Lala outside Wayrest, or Thongar the Stout outside Mournhold. Its final boss, Canonreeve Oraneth, has a chance to drop the antiquity lead for the Ring of the Wild Hunt.",Elden Hollow Objective: Explore Elden Hollow. / You braved the dangers of the Elden Hollow.,"Darkfern Archers, Diggers, Flamerenders, Healers, Maulers, Skeletons and Stalkers; Justiciar Elanar; Stranglers and Strangler Saplings; Spriggans; Thalmor Adepts and Justiciars",Alits,"Ancient Spriggan, a spriggan; Nenesh gro-Mal, a Darkfern Orc warrior; Leafseether, a giant alit","Akash gra-Mal, a Darkfern Orc warrior; Chokethorn, a giant strangler; Canonreeve Oraneth, a Thalmor official attempting a Daedric summoning ritual",Light Speaker; Barkskin; Undaunted Bastion; Chokethorn (set)
Elden Hollow II,Online:Elden Hollow II,Grahtwood,37,"When the Daedra-worshiping Ayleids were driven from Cyrodiil after Alessia's Slave Rebellion, many of the Wild Elf clans took refuge in Valenwood. One of the foremost of those clans was granted the right to excavate dwelling-halls under Elden Root itself.","The story continues from the events of Elden Hollow I. In this version, Kargand needs your help rescuing his sister Bakkhara from a Daedric realm. She has been trapped there because of the ritual performed by Canonreeve Oraneth earlier. You can learn about its location from Venomous Fauridil outside Elden Root, Hel Ra'Lala outside Wayrest, or Thongar the Stout outside Mournhold.",Elden Hollow Objective: Explore Elden Hollow. / You braved the dangers of the Elden Hollow.,"Banekin; Dremora Fearkyn, Invokers and Kynvals; Frenzied and Mystic Guardians; Infested Banekin, Fearkyn and Invokers; Scamps; Nova Tendrils (Hard Mode only); Shadow Tendrils",Daedric Lurchers,"Dubroze the Infestor, a large daedroth; Azara the Frightener, a winged twilight; The Shadow Guard, a dremora shaman","Dark Root, a shadowy spriggan; Murklight, a shadowy lurcher; Bogdan the Nightflame, the daedric titan lord of the pocket plane seeping into the hollow",Light Speaker; Barkskin; Undaunted Bastion; Nightflame
Fungal Grotto I,Online:Fungal Grotto I,Stonefalls,10,"These extensive caverns in the volcanic rock beneath Stonefalls were once used for unknown purposes by the ancient Chimer, but were abandoned by the Elves long ago. Now they are the haunt of Goblins and other denizens of the underworld.","thumb|right|Inside the Grotto The cave is infested with goblins and dreugh, though the goblins are scared of something dark lurking deep within the grotto. In this version, Vila Theran wants you to clear the path to a shrine hidden within the grotto. You can learn about its location from Mindil the Untested in Vulkhel Guard, Abzag the Monster in Daggerfall, or Kailstig the Axe in Davon's Watch. Its dungeon sets are Dreugh King Slayer, Spider Cultist Cowl, and Viper's Sting.",Fungal Grotto Objective: Explore the Fungal Grotto. / You braved the dangers of Fungal Grotto.,Dreugh; Grotto Mudcrab Swarmer Minions; Mudcrab; Murkwater Butchers; Murkwater Defenders; Murkwater Durzogs; Murkwater Hunters; Murkwater Menders; Murkwater Ravagers; Murkwater War Guards; Swarming Mudcrabs,,"Tazkad the Packmaster, a goblin hunter; Broodbirther, a large dreugh; Clatterclaw, a giant mudcrab","War Chief Ozozai, the leader of the goblins; Kra'gh the Dreugh King, leader of the dreugh",Spider Cultist Cowl; Viper's Sting; Dreugh King Slayer; Kra'gh
Fungal Grotto II,Online:Fungal Grotto II,Stonefalls,39,"These extensive caverns in the volcanic rock beneath Stonefalls were once used for unknown purposes by the ancient Chimer, but were abandoned by the Elves long ago. Now they are the haunt of Goblins and other denizens of the underworld.","The storyline continues from the events of Fungal Grotto I. In this version, Defender Two-Blades needs you to defeat the Spider Cultists who have taken control of a dangerous artifact called the Obsidian Husk. You can learn about its location from Mindil the Untested in Vulkhel Guard, Abzag the Monster in Daggerfall, or Kailstig the Axe in Davon's Watch. Its dungeon sets are Dreugh King Slayer, Spider Cultist Cowl, and Viper's Sting.",Fungal Grotto Objective: Explore the Fungal Grotto. / You braved the dangers of Fungal Grotto.,Cult Spinner; Ciirenas' Spider (Ciirenas the Shepherd fight); Obsidian Aspect (Gamyne Bandu fight); Obsidian Warrior; Shadow Spider (Spawn of Mephala fight); Shadow Tormentor (Gamyne Bandu fight); Shadow Webspinner (Spawn of Mephala fight); Spider; Spider Cult Healer; Spider Cult Initiate; Spider Cult Pyromancer; Spider Cult Savage; Spider Cult Sentinel,,"Mephala's Fang, a giant spider; Ciirenas the Shepherd, a cultist and her Spider Flock; Reggr Dark-Dawn, Vila Theran's bodyguard","Gamyne Bandu, a Dunmer assassin; Spawn of Mephala, a spider daedra sent by Mephala to stop you; Vila Theran, the leader of the Spider Cult",Spider Cultist Cowl; Viper's Sting; Dreugh King Slayer; Spawn of Mephala (set)
Selene's Web,Online:Selene's Web,Reaper's March,34,"Even by the standards of , something is not right about the growth of the forest in this vicinity. It doesn't seem unhealthy—on the contrary, it seems vigorous, but in an unwholesome way.","A group of Mages Guild members led by Warlock Carindon are exploring Selene's Web in search of a mysterious forest spirit, and need protection from hostile natives and wildlife. You can learn about its location from Thulga, Empress of Bone in Rawl'kha, Slays-By-Moon in Evermore, or Kailstig the Axe in Riften. Hazards include bear traps and bottomless pits.",Selene&#39;s Web Objective: Explore Selene's Web. / You helped the Mages Guild defeat Selene.,"Earth Menders, Root Guards and True Shots; Hoarvors; Selene's Daggers, Rangers, Roses, Savages, Shamans, and Thundermauls; Senche Spirits; Spiders; Wolves",,"Treethane Kerninn, a Bosmer warrior; Queen Aklayah, a massive hoarvor; Mennir Many-Legs, a Bosmer summoner","Longclaw, a Khajiit hunter and his senche daughters (Heartstalker, Nighteyes, Shadowhiskers, and Silentpaw); Foulhide, a giant bear; Selene, a Bosmer changeling",Vestments of the Warlock; Hircine's Veneer; Durok's Bane; Selene (set)
Spindleclutch I,Online:Spindleclutch I,Glenumbra,10,The Ayleid ruins of Dwynnarth that grin down from the bluffs above Hag Fen were plundered and emptied out generations ago. But it seems there are forgotten mine tunnels beneath the lowest levels of Dwynnarth that might not be quite so empty.,"The cave is infested with spiders, although something more sinister lurks within. Praxin Douare wants your help clearing the cave of spiders and other possible threats. In Spindleclutch I, a constant, pervasive whispering sound is present throughout the dungeon, and only gets louder as you descend through the caves. You can learn about its location from Mindil the Untested in Vulkhel Guard, Mighty Mordra in Daggerfall, or Roaring Ramavel in Davon's Watch. Its dungeon sets are Knightmare, Prayer Shawl, and Spelunker. Its final boss, The Whisperer, has a chance to drop the antiquity lead for the Bloodlord's Embrace.",Spindleclutch Objective: Explore the Spindleclutch caverns. / You braved the dangers within the Spindleclutch caverns.,Corrupted Evoker; Corrupted Healer; Corrupted Guardian; Corrupted Infantry; Corrupted Knight; Spiders; Spider Hatchling; Spider Swarm,,"Spindlekin, a giant spider; Cerise the Widow-Maker, a corrupted Breton berserker; Big Rabbu, a corrupted Redguard brute","Swarm Mother, a spider queen responsible for the spider infestation; The Whisperer, a spider daedra responsible for driving the Fighters Guild members insane",Prayer Shawl; Spelunker; Knightmare; Swarm Mother (set)
Spindleclutch II,Online:Spindleclutch II,Glenumbra,40,The Ayleid ruins of Dwynnarth that grin down from the bluffs above Hag Fen were plundered and emptied out generations ago. But it seems there are forgotten mine tunnels beneath the lowest levels of Dwynnarth that might not be quite so empty.,"thumb|right|Entrance to Vorenor's lairthumb|right|The lair after Vorenor has been defeatedThe storyline continues from the events of Spindleclutch I. In this version, Guardian Sud-Hareem needs help finding his son, who he believes has been captured by vampires within Spindleclutch. You can learn about its location from Mindil the Untested in Vulkhel Guard, Mighty Mordra in Daggerfall, or Roaring Ramavel in Davon's Watch. Its dungeon sets are Knightmare, Prayer Shawl, and Spelunker.",Spindleclutch Objective: Explore the Spindleclutch caverns. / You braved the dangers within the Spindleclutch caverns.,Bloodfiends; Boneman Archers; Boneman Warriors; Corrupted Evoker Nightmares; Corrupted Healer Nightmares; Corrupted Infantry Nightmares; Spider Swarms; Thralled Archers; Thralled Brutes; Thralled Strikers; Thralled Warriors; Vampire Bonelords; Vampire Illusionists; Vampire Necromancers; Vampire Nightblades,Big Rabbu Nightmare; Flesh Atronachs; Swarm Mother Nightmare; The Whisperer Nightmare; The Widow-Maker Nightmare,"Mad Mortine, a bloodfiend; Flesh Atronach Trio, a group of three powerful flesh atronachs who must be defeated together; Urvan Veleth, a Dunmer vampire","Bloodspawn, a gargoyle; Praxin Douare, the wraith of a former Fighters Guild member; Vorenor Winterbourne, a Nord vampire lord",Prayer Shawl; Spelunker; Knightmare; Bloodspawn (set)
Tempest Island,Online:Tempest Island,Malabal Tor,26,"Surrounded by sand bars and shifting channels, this island in the Strid estuary has long been a haven for pirates, raiders, and fugitives from law enforcement. It has never been fully explored by any civilized authority.","It has been invaded by the Sea Vipers, who use it to hone their storm magic for a planned assault on the Valenwood coast. A group of Dominion soldiers led by Battlereeve Alduril needs your help defeating the Maormer invaders and their lamia allies. You can learn about its location from Turuk Redclaws outside Velyn Harbor, Vyric the White in Sentinel, or Strong-With-Tail in Windhelm.",Tempest Island Objective: Join the expedition to conquer Tempest Island. / You have defeated the Maormer Stormreeve Neidir.,Lamias; Lamia Curares; Lamia Dominas; Lightning Avatars; Maormer Summoners; Sea Viper Berserkers; Sea Viper Chargers; Sea Viper Deadeyes; Sea Viper Healer; Sea Viper Strongarms,Storm Atronachs (Normal rank during Stormfist fight),"Sonolia the Matriarch, the leader of the lamia on Tempest Island; Yalorasse the Speaker, a Sea Viper rogue; Commodore Ohmanil, a Sea Viper commander","Valaran Stormcaller, a Sea Viper spellsword; Stormfist, a massive storm atronach; Stormreeve Neidir, the leader of the Sea Vipers",Overwhelming Surge; Storm Master; Jolting Arms; Stormfist (set)
Vaults of Madness,Online:Vaults of Madness,Coldharbour,36,"The Vaults of Madness are the masterpiece of the infamous Mad Architect, who is said to be one of the few entities ever to serve multiple Daedric Princes and profit from it. How he is paid for his ""services"" is a matter of wild and horrible conjecture.","Gasteau Chamrond needs you to help him and his friends escape from the Vaults by destroying the Mad Architect. You can learn about its location from Tubidan the Alarmist in the Hollow City. Hazards include bottomless pits and fire, the latter of which is encountered near the Ancient One and Iskra the Omen. thumb|right|Interior",Vaults of Madness Objective: Explore the Vaults of Madness. / You defeated the Mad Architect.,"Banekin; Daedroth; Dremora Bonelords, Fearkyn and Mages; Feral Shriven; Flame Atronachs; Flame Bringers; Ogrim; Reanimated Atronachs, Mages and Monstrosities; Seducer Archers, Brutes, Necromancers and Nightblades; Skeletal Healers and Torturers; Zombies",Watchers,"The Cursed One, a wraith; Death's Head, a large bone colossus; Achaeraizur, a large daedroth; The Ancient One, a large watcher","Ulguna Soul-Reaver, Gasteau's harvester tormentor; Grothdarr, a massive flesh atronach; Iskra the Omen, a daedric titan; Mad Architect, a lich and designer of the Vaults",The Worm's Raiment; Oblivion's Edge; Rattlecage; Grothdarr (set)
Volenfell,Online:Volenfell,Alik'r Desert,28,"The ancient Dwarven city of Volenfell was long lost to the sands of the Alik'r Desert. But its ruins have recently been discovered, prompting a race between scholars and treasure-hunters to be the first to search its storied depths.","The researcher Tharayya wants your help finding a Dwemer artifact called the Guardian's Eye. You can learn about its location from Earrona Kneecapper outside Velyn Harbor, Magnifico Jalid in Sentinel, or Felvyn the Swordarm in Windhelm. thumb|right|The interior of Volenfell",Volenfell Objective: Explore the ruins of Volenfell. / You've escaped the ruins of Volenfell.,Assassin Beetles; Boilbite's Assassin Beetles; Desert Lionesses; Dwarven Centurions; Dwarven Spheres; Dwarven Spiders; Imperial Overseers; Lions; Lionesses; Treasure Hunters; Treasure Hunter Healers; Treasure Hunter Incendiaries; Unstable Dwarven Spiders; Quest-only; Mummies; Skeletons,Dunerippers,"Desert Lion, a white lion; Boilbite, a large shalk; Unstable Construct, a charged dwemer sphere","Quintus Verres, Tharayya's traitorous husband, who awakens the Monstrous Gargoyle; Tremorscale, a large duneripper; The Guardian Council, a group of three dwemer centurions: The Guardian's Spark, The Guardian's Soul and The Guardian's Strength",Treasure Hunter; Crusader; Duneripper's Scales; Tremorscale (set)
Wayrest Sewers I,Online:Wayrest Sewers I,Stormhaven,16,Wayrest is justifiably proud of the commodious modern sewers that drain the city's wastes into the Iliac Bay. But the curving conduits beneath the streets contain dark secrets unsuspected by those who walk in the light of day above.,"When you enter the sewers in the normal version, Investigator Irnand will request that you find and kill a rogue necromancer and his conspirators before they take over Wayrest above. You can learn its location from Wandering Jakalor outside Elden Root, Lady Blade outside Wayrest, or Hranir Icy-Mane outside Mournhold.",Wayrest Sewers Objective: Explore Wayrest Sewers. / You braved the dangers of the Wayrest Sewers.,Fiendish Hallucination; Mudcrabs; Pellingare Bowman; Pellingare Cutthroat; Pellingare Henchman; Pellingare Necromancer; Pellingare Recruit; Pellingare Sawbones; Restless Souls; Skeevers; Vermin Feeder,Crocodiles,"Slimecraw, a giant crocodile; The Rat Whisperer, an eccentric man with control over skeevers; Uulgarg the Hungry, an Orc mercenary","Investigator Garron, a former city investigator-turned necromancer who has turned on his comrades; Varaine Pellingare, a nobleman who is plotting to take over Wayrest; Allene Pellingare, a noblewoman who is plotting to take over Wayrest",Combat Physician; Toothrow; Sergeant's Mail; Slimecraw (set)
Wayrest Sewers II,Online:Wayrest Sewers II,Stormhaven,38,Wayrest is justifiably proud of the commodious modern sewers that drain the city's wastes into the Iliac Bay. But the curving conduits beneath the streets contain dark secrets unsuspected by those who walk in the light of day above.,"The storyline continues from the events of Wayrest Sewers I. In this version, enemies you once thought dead have returned. Yahyif and Gedric Serre want you to find Master Pellingare, who has gone missing in the city sewers. You can learn its location from Wandering Jakalor outside Elden Root, Lady Blade outside Wayrest, or Hranir Icy-Mane outside Mournhold.",Wayrest Sewers Objective: Explore Wayrest Sewers. / You braved the dangers of the Wayrest Sewers.,Bone Flayers; Escaped Souls; Fiendish Hallucinations; Fiendish Nightmares; Ghosts; Hired Necromancers; Hired Spellbinders; Skeletal Cutthroats; Skeletal Pyromancers; Skeletal Warriors; Zombies; Zombie Harbingers,Bone Colossi,"Skull Reaper, a large bone colossus; Uulgarg the Risen, the reanimated skeleton of Uulgarg the Hungry; The Forgotten One, a ghost","Malubeth the Scourger, a harvester summoned by the Pellingares; Garron the Returned, the lich form of Investigator Garron, who raised himself after death; Allene Pellingare and Varaine Pellingare, in their undead forms",Combat Physician; Toothrow; Sergeant's Mail; Scourge Harvester
